,word,sentiment,n,
1,pretty,positive,162,
2,trouble,negative,84,
3,miss,negative,78,
4,dead,negative,76,
5,mighty,positive,71,
6,dark,negative,70,
7,easy,positive,51,
8,poor,negative,51,
9,struck,negative,50,
10,glad,positive,46,
11,ready,positive,42,
12,bad,negative,41,
13,free,positive,41,
14,blame,negative,39,
15,fool,negative,38,
16,awful,negative,35,
17,killed,negative,35,
18,sick,negative,35,
19,slow,negative,35,
20,kill,negative,33,
21,drunk,negative,31,
22,comfortable,positive,30,
23,luck,positive,30,
24,steal,negative,29,
25,runaway,negative,28,
26,safe,positive,28,
27,scared,negative,27,
28,broke,negative,26,
29,cold,negative,26,
30,died,negative,26,
31,hard,negative,26,
32,satisfied,positive,26,
33,worth,positive,25,
34,hung,negative,24,
35,loose,negative,24,
36,rich,positive,23,
37,stole,negative,23,
38,hurt,negative,22,
39,blow,negative,20,
40,fast,positive,20,
41,fell,negative,20,
42,goodness,positive,20,
43,harm,negative,20,
44,nice,positive,20,
45,perfectly,positive,20,
46,prisoner,negative,20,
47,tired,negative,20,
48,wreck,negative,20,
49,honest,positive,19,
50,lost,negative,19,
51,powerful,positive,19,
52,quiet,positive,19,
53,smoke,negative,19,
54,solid,positive,19,
55,top,positive,19,
56,clean,positive,18,
57,lie,negative,18,
58,afraid,negative,17,
59,beautiful,positive,17,
60,bust,negative,17,
61,die,negative,17,
62,noise,negative,17,
63,stuck,negative,17,
64,wild,negative,17,
65,death,negative,16,
66,hang,negative,16,
67,lose,negative,16,
68,pan,negative,16,
69,uneasy,negative,16,
70,worse,negative,16,
71,handy,positive,15,
72,hot,positive,15,
73,knife,negative,15,
74,lonesome,negative,15,
75,break,negative,14,
76,cave,negative,14,
77,cry,negative,14,
78,fault,negative,14,
79,gold,positive,14,
80,soft,positive,14,
81,bother,negative,13,
82,fine,positive,13,
83,mad,negative,13,
84,missed,negative,13,
85,stranger,negative,13,
86,sweet,positive,13,
87,wrong,negative,13,
88,cool,positive,12,
89,fairly,positive,12,
90,lovely,positive,12,
91,rip,negative,12,
92,troubles,negative,12,
93,fun,positive,11,
94,gracious,positive,11,
95,loud,negative,11,
96,worry,negative,11,
97,fair,positive,10,
98,glory,positive,10,
99,grace,positive,10,
100,reward,positive,10,
101,rough,negative,10,
102,solemn,negative,10,
103,stern,negative,10,
104,tramp,negative,10,
105,booming,positive,9,
106,broken,negative,9,
107,crack,negative,9,
108,crazy,negative,9,
109,crept,negative,9,
110,dirt,negative,9,
111,dreadful,negative,9,
112,dull,negative,9,
113,grand,positive,9,
114,lean,positive,9,
115,love,positive,9,
116,mistake,negative,9,
117,monstrous,negative,9,
118,shake,negative,9,
119,sharp,positive,9,
120,stealing,negative,9,
121,tolerable,positive,9,
122,ashamed,negative,8,
123,bless,positive,8,
124,bright,positive,8,
125,cussed,negative,8,
126,devil,negative,8,
127,dim,negative,8,
128,excited,positive,8,
129,foolishness,negative,8,
130,handsome,positive,8,
131,happy,positive,8,
132,lies,negative,8,
133,majesty,positive,8,
134,pale,negative,8,
135,proud,positive,8,
136,providence,positive,8,
137,sack,negative,8,
138,scratch,negative,8,
139,splendid,positive,8,
140,stump,negative,8,
141,tough,positive,8,
142,warm,positive,8,
143,wonderful,positive,8,
144,boom,positive,7,
145,cleared,positive,7,
146,danger,negative,7,
147,foolish,negative,7,
148,fresh,positive,7,
149,gentle,positive,7,
150,helped,positive,7,
151,hogs,negative,7,
152,ignorant,negative,7,
153,joy,positive,7,
154,lazy,negative,7,
155,lead,positive,7,
156,lively,positive,7,
157,mournful,negative,7,
158,rail,negative,7,
159,smart,positive,7,
160,smiling,positive,7,
161,strange,negative,7,
162,strike,negative,7,
163,tragedy,negative,7,
164,worst,negative,7,
165,bent,negative,6,
166,bully,negative,6,
167,bum,negative,6,
168,cuss,negative,6,
169,dumb,negative,6,
170,freedom,positive,6,
171,joyful,positive,6,
172,noble,positive,6,
173,perfect,positive,6,
174,slave,negative,6,
175,steady,positive,6,
176,swift,positive,6,
177,trust,positive,6,
178,blessing,positive,5,
179,brash,negative,5,
180,coarse,negative,5,
181,crowded,negative,5,
182,fall,negative,5,
183,fever,negative,5,
184,fooled,negative,5,
185,fortune,positive,5,
186,gaudy,negative,5,
187,grateful,positive,5,
188,greasy,negative,5,
189,hug,positive,5,
190,lucky,positive,5,
191,murder,negative,5,
192,outrageous,negative,5,
193,pig,negative,5,
194,pleased,positive,5,
195,raging,negative,5,
196,rascal,negative,5,
197,rotten,negative,5,
198,sin,negative,5,
199,slick,positive,5,
200,sly,negative,5,
201,snag,negative,5,
202,sober,negative,5,
203,sore,negative,5,
204,split,negative,5,
205,sunk,negative,5,
206,suspicion,negative,5,
207,trash,negative,5,
208,ache,negative,4,
209,advantage,positive,4,
210,aground,negative,4,
211,anxious,negative,4,
212,awkward,negative,4,
213,blind,negative,4,
214,bothered,negative,4,
215,breaking,negative,4,
216,breeze,positive,4,
217,burning,negative,4,
218,comfort,positive,4,
219,coward,negative,4,
220,crippled,negative,4,
221,dawn,positive,4,
222,dirty,negative,4,
223,disappointed,negative,4,
224,dragged,negative,4,
225,evasion,negative,4,
226,falling,negative,4,
227,fraud,negative,4,
228,friendly,positive,4,
229,fuss,negative,4,
230,generous,positive,4,
231,harrow,negative,4,
232,honor,positive,4,
233,humble,positive,4,
234,idiot,negative,4,
235,itch,negative,4,
236,loved,positive,4,
237,miserable,negative,4,
238,mysterious,negative,4,
239,peace,positive,4,
240,prison,negative,4,
241,promise,positive,4,
242,reasonable,positive,4,
243,rot,negative,4,
244,rusty,negative,4,
245,satisfactory,positive,4,
246,scare,negative,4,
247,scream,negative,4,
248,shame,negative,4,
249,shiver,negative,4,
250,silent,positive,4,
