,word,sentiment,n
1,dead,negative,68
2,poor,negative,56
3,cave,negative,47
4,awful,negative,41
5,fell,negative,41
6,lost,negative,35
7,trouble,negative,32
8,dark,negative,29
9,knife,negative,27
10,mighty,positive,26
11,treasure,positive,26
12,hard,negative,24
13,broke,negative,22
14,master,positive,22
15,smoke,negative,22
16,glad,positive,21
17,kill,negative,21
18,afraid,negative,20
19,lie,negative,20
20,ready,positive,19
21,fine,positive,18
22,pretty,positive,18
23,cry,negative,17
24,fool,negative,17
25,happy,positive,17
26,bad,negative,16
27,death,negative,16
28,died,negative,16
29,broken,negative,15
30,struck,negative,15
31,cold,negative,14
32,die,negative,14
33,fall,negative,14
34,melancholy,negative,14
35,strong,positive,14
36,blame,negative,13
37,hung,negative,13
38,nice,positive,13
39,slow,negative,13
40,suffering,negative,13
41,comfort,positive,12
42,free,positive,12
43,hot,positive,12
44,luck,positive,12
45,quiet,positive,12
46,terror,negative,12
47,worth,positive,12
48,dismal,negative,11
49,fast,positive,11
50,fear,negative,11
51,fun,positive,11
52,gratitude,positive,11
53,hang,negative,11
54,joy,positive,11
55,lead,positive,11
56,love,positive,11
57,peace,positive,11
58,pity,negative,11
59,promised,positive,11
60,revenge,negative,11
61,safe,positive,11
62,bent,negative,10
63,bug,negative,10
64,crept,negative,10
65,darkness,negative,10
66,devil,negative,10
67,distress,negative,10
68,fair,positive,10
69,grateful,positive,10
70,hurt,negative,10
71,murder,negative,10
72,rotten,negative,10
73,satisfactory,positive,10
74,sick,negative,10
75,solemn,negative,10
76,tired,negative,10
77,wild,negative,10
78,break,negative,9
79,clean,positive,9
80,dim,negative,9
81,disturbed,negative,9
82,doubt,negative,9
83,dreadful,negative,9
84,drunk,negative,9
85,easy,positive,9
86,excitement,positive,9
87,hero,positive,9
88,hollow,negative,9
89,honest,positive,9
90,pain,negative,9
91,prize,positive,9
92,rich,positive,9
93,satisfied,positive,9
94,sharp,positive,9
95,vague,negative,9
96,beautiful,positive,8
97,bother,negative,8
98,bright,positive,8
99,crack,negative,8
100,dragged,negative,8
101,failed,negative,8
102,gloom,negative,8
103,glory,positive,8
104,hate,negative,8
105,perfectly,positive,8
106,precious,positive,8
107,pride,positive,8
108,scarcely,negative,8
109,scared,negative,8
110,smile,positive,8
111,splendor,positive,8
112,stump,negative,8
113,troubles,negative,8
114,uncomfortable,negative,8
115,charm,positive,7
116,comfortable,positive,7
117,confidence,positive,7
118,danger,negative,7
119,dreary,negative,7
120,dumb,negative,7
121,earnest,positive,7
122,envy,positive,7
123,fresh,positive,7
124,friendly,positive,7
125,gold,positive,7
126,helped,positive,7
127,led,positive,7
128,lying,negative,7
129,miserable,negative,7
130,miss,negative,7
131,mysterious,negative,7
132,prisoner,negative,7
133,promise,positive,7
134,ragged,negative,7
135,relief,positive,7
136,romantic,positive,7
137,ruin,negative,7
138,sad,negative,7
139,shake,negative,7
140,slowly,negative,7
141,splendid,positive,7
142,steal,negative,7
143,strain,negative,7
144,strange,negative,7
145,struggle,negative,7
146,success,positive,7
147,suffered,negative,7
148,top,positive,7
149,troubled,negative,7
150,worn,negative,7
151,worse,negative,7
152,wrong,negative,7
153,angry,negative,6
154,bully,negative,6
155,dangerous,negative,6
156,dread,negative,6
157,eloquent,positive,6
158,feeble,negative,6
159,fright,negative,6
160,goodness,positive,6
161,grief,negative,6
162,harm,negative,6
163,honor,positive,6
164,instantly,positive,6
165,intolerable,negative,6
166,killer,negative,6
167,loved,positive,6
168,loving,positive,6
169,mystery,negative,6
170,noise,negative,6
171,pale,negative,6
172,proud,positive,6
173,silent,positive,6
174,slaughter,negative,6
175,sore,negative,6
176,steady,positive,6
177,stolen,negative,6
178,stranger,negative,6
179,stuck,negative,6
180,suspicion,negative,6
181,tedious,negative,6
182,weary,negative,6
183,agony,negative,5
184,angel,positive,5
185,bore,negative,5
186,burn,negative,5
187,cheer,positive,5
188,concerned,negative,5
189,conspicuous,negative,5
190,cracked,negative,5
191,crime,negative,5
192,deaf,negative,5
193,delight,positive,5
194,delighted,positive,5
195,doom,negative,5
196,dull,negative,5
197,enemy,negative,5
198,failure,negative,5
199,falling,negative,5
200,fears,negative,5
201,ghastly,negative,5
202,hated,negative,5
203,hateful,negative,5
204,hating,negative,5
205,imaginary,negative,5
206,indifferent,negative,5
207,inspiration,positive,5
208,killed,negative,5
209,leading,positive,5
210,lonely,negative,5
211,loose,negative,5
212,misery,negative,5
213,perplexed,negative,5
214,pleasant,positive,5
215,profound,positive,5
216,proper,positive,5
217,refused,negative,5
218,rot,negative,5
219,rusty,negative,5
220,sensation,positive,5
221,spite,negative,5
222,strike,negative,5
223,suffer,negative,5
224,suspicious,negative,5
225,temptation,negative,5
226,trust,positive,5
227,uneasy,negative,5
228,warily,negative,5
229,wasted,negative,5
230,weak,negative,5
231,wise,positive,5
232,anxiety,negative,4
233,anxious,negative,4
234,astonishment,positive,4
235,bitter,negative,4
236,bless,positive,4
237,blow,negative,4
238,blunder,negative,4
239,burning,negative,4
240,contentment,positive,4
241,crash,negative,4
242,cure,positive,4
243,delicious,positive,4
244,denial,negative,4
245,dense,negative,4
246,depression,negative,4
247,desperate,negative,4
248,difficulty,negative,4
249,disappointment,negative,4
250,dragging,negative,4
251,dust,negative,4
252,dying,negative,4
253,enjoy,positive,4
254,faint,negative,4
255,generous,positive,4
256,giddy,negative,4
257,gloomy,negative,4
258,glorious,positive,4
259,grandeur,positive,4
260,gratified,positive,4
261,grating,negative,4
262,handy,positive,4
263,happiness,positive,4
264,hopeless,negative,4
265,isolated,negative,4
266,jubilant,positive,4
267,knock,negative,4
268,loneliness,negative,4
269,longing,negative,4
270,lucky,positive,4
271,majestic,positive,4
272,marvel,positive,4
273,marvels,positive,4
274,mischief,negative,4
275,missed,negative,4
276,noble,positive,4
277,object,negative,4
278,patient,positive,4
279,patiently,positive,4
280,peculiar,negative,4
281,powerful,positive,4
282,protection,positive,4
283,respectable,positive,4
284,restless,negative,4
285,risk,negative,4
286,shame,negative,4
287,smart,positive,4
288,soft,positive,4
289,stiff,negative,4
290,stricken,negative,4
291,stronger,positive,4
292,struggled,negative,4
293,struggling,negative,4
294,sufferer,negative,4
295,sufficient,positive,4
296,terrible,negative,4
297,thankful,positive,4
298,torment,negative,4
299,triumph,positive,4
300,utterly,negative,4
301,vagrant,negative,4
302,vain,negative,4
303,vanity,negative,4
304,vexation,negative,4
305,warm,positive,4
306,win,positive,4
307,winning,positive,4
308,wonders,positive,4
309,worst,negative,4
310,wound,negative,4
311,admiration,positive,3
312,admiring,positive,3
313,advantage,positive,3
314,advantages,positive,3
315,ashamed,negative,3
316,astonished,positive,3
317,astounding,positive,3
318,awed,positive,3
319,awkward,negative,3
320,backward,negative,3
321,badly,negative,3
322,betray,negative,3
323,bliss,positive,3
324,bloom,positive,3
325,burden,negative,3
326,chaos,negative,3
327,cloud,negative,3
328,crazy,negative,3
329,creeping,negative,3
330,cruelty,negative,3
331,dawn,positive,3
332,despair,negative,3
333,dirt,negative,3
334,discomfort,negative,3
335,distinction,positive,3
336,dripping,negative,3
337,excited,positive,3
338,exciting,positive,3
339,exultation,positive,3
340,fairly,positive,3
341,faith,positive,3
342,falls,negative,3
343,fascination,positive,3
344,fearful,negative,3
345,fever,negative,3
346,flickering,negative,3
347,foolishness,negative,3
348,formidable,positive,3
349,frantic,negative,3
350,furiously,negative,3
351,gained,positive,3
352,gentle,positive,3
353,glare,negative,3
354,glow,positive,3
355,grace,positive,3
356,grand,positive,3
357,grieving,negative,3
358,grisly,negative,3
359,happier,positive,3
360,harassed,negative,3
361,heaven,positive,3
362,idle,negative,3
363,illustrious,positive,3
364,impatient,negative,3
365,imposing,negative,3
366,impressive,positive,3
367,indifference,negative,3
368,infernal,negative,3
369,injury,negative,3
370,interruption,negative,3
371,jam,negative,3
372,joke,negative,3
373,lack,negative,3
374,lazy,negative,3
375,liar,negative,3
376,lively,positive,3
377,lonesome,negative,3
378,louder,negative,3
379,miseries,negative,3
380,misfortune,negative,3
381,mistake,negative,3
382,moan,negative,3
383,mourn,negative,3
384,murderer,negative,3
385,outcast,negative,3
386,painfully,negative,3
387,pathetic,negative,3
388,peaceful,positive,3
389,pleasure,positive,3
390,progress,positive,3
391,quack,negative,3
392,retreat,negative,3
393,reward,positive,3
394,rough,negative,3
395,sadly,negative,3
396,scratch,negative,3
397,scratched,negative,3
398,shallow,negative,3
399,shiver,negative,3
400,sink,negative,3
401,solid,positive,3
402,sorrow,negative,3
403,stealing,negative,3
404,steep,negative,3
405,stern,negative,3
406,stole,negative,3
407,stumbled,negative,3
408,subdued,negative,3
409,sunk,negative,3
410,superstition,negative,3
411,sweet,positive,3
412,tormented,negative,3
413,torture,negative,3
414,tortured,negative,3
415,tranquil,positive,3
416,treacherous,negative,3
