,word,sentiment,n
1,poor,negative,108
2,majesty,positive,60
3,fell,negative,44
4,mad,negative,40
5,grace,positive,37
6,death,negative,36
7,lost,negative,35
8,free,positive,32
9,strange,negative,31
10,peace,positive,29
11,happy,positive,25
12,dead,negative,24
13,gentle,positive,24
14,master,positive,23
15,trouble,negative,23
16,bent,negative,22
17,noble,positive,21
18,rich,positive,21
19,gold,positive,20
20,prisoner,negative,20
21,die,negative,19
22,fear,negative,18
23,fine,positive,18
24,glad,positive,18
25,hard,negative,18
26,beg,negative,17
27,doubt,negative,17
28,loving,positive,17
29,dignity,positive,16
30,knife,negative,16
31,sweet,positive,16
32,wilt,negative,16
33,wrought,negative,16
34,broke,negative,15
35,broken,negative,15
36,gracious,positive,15
37,heaven,positive,15
38,lie,negative,15
39,mercy,positive,15
40,pauper,negative,15
41,warm,positive,15
42,worth,positive,15
43,cry,negative,14
44,joy,positive,14
45,crime,negative,13
46,died,negative,13
47,evil,negative,13
48,failed,negative,13
49,fast,positive,13
50,grand,positive,13
51,loved,positive,13
52,mighty,positive,13
53,mock,negative,13
54,pleasure,positive,13
55,privilege,positive,13
56,reverence,positive,13
57,shame,negative,13
58,slowly,negative,13
59,stranger,negative,13
60,dark,negative,12
61,ease,positive,12
62,easy,positive,12
63,gorgeous,positive,12
64,kindly,positive,12
65,pity,negative,12
66,ready,positive,12
67,solemn,negative,12
68,splendid,positive,12
69,suffer,negative,12
70,tired,negative,12
71,cold,negative,11
72,love,positive,11
73,prison,negative,11
74,sharply,negative,11
75,silent,positive,11
76,soft,positive,11
77,strong,positive,11
78,troubles,negative,11
79,wise,positive,11
80,beautiful,positive,10
81,comfort,positive,10
82,FALSE,negative,10
83,forlorn,negative,10
84,grateful,positive,10
85,hang,negative,10
86,honest,positive,10
87,hurt,negative,10
88,loss,negative,10
89,madness,negative,10
90,merciful,positive,10
91,pleasant,positive,10
92,precious,positive,10
93,ragged,negative,10
94,struck,negative,10
95,beggar,negative,9
96,break,negative,9
97,bright,positive,9
98,compassion,positive,9
99,crept,negative,9
100,delay,negative,9
101,eagerly,positive,9
102,golden,positive,9
103,harm,negative,9
104,instantly,positive,9
105,lack,negative,9
106,lead,positive,9
107,led,positive,9
108,odd,negative,9
109,pig,negative,9
110,pretty,positive,9
111,proud,positive,9
112,rough,negative,9
113,smile,positive,9
114,sorrow,negative,9
115,stricken,negative,9
116,troubled,negative,9
117,waste,negative,9
118,admiration,positive,8
119,betray,negative,8
120,blow,negative,8
121,brave,positive,8
122,comfortable,positive,8
123,delight,positive,8
124,deny,negative,8
125,distress,negative,8
126,dread,negative,8
127,enjoyed,positive,8
128,fair,positive,8
129,fall,negative,8
130,favour,positive,8
131,foolish,negative,8
132,generous,positive,8
133,humour,positive,8
134,loose,negative,8
135,marvellous,positive,8
136,paltry,negative,8
137,promptly,positive,8
138,quiet,positive,8
139,rage,negative,8
140,richly,positive,8
141,ruffian,negative,8
142,ruined,negative,8
143,stately,positive,8
144,suffered,negative,8
145,wonderful,positive,8
146,worthy,positive,8
147,advantage,positive,7
148,astonished,positive,7
149,awful,negative,7
150,bitter,negative,7
151,blind,negative,7
152,concern,negative,7
153,dangerous,negative,7
154,doubtless,positive,7
155,excitement,positive,7
156,fantastic,positive,7
157,fears,negative,7
158,fool,negative,7
159,gravely,negative,7
160,holy,positive,7
161,lose,negative,7
162,malady,negative,7
163,mightily,positive,7
164,misery,negative,7
165,perplexed,negative,7
166,pleased,positive,7
167,profound,positive,7
168,proper,positive,7
169,regal,positive,7
170,restored,positive,7
171,reward,positive,7
172,shake,negative,7
173,sharp,positive,7
174,sick,negative,7
175,steal,negative,7
176,stolen,negative,7
177,succeeded,positive,7
178,sufficient,positive,7
179,swift,positive,7
180,tramp,negative,7
181,treason,negative,7
182,trust,positive,7
183,warning,negative,7
184,weary,negative,7
185,wild,negative,7
186,worn,negative,7
187,abuse,negative,6
188,bewildered,negative,6
189,bless,positive,6
190,burned,negative,6
191,coarse,negative,6
192,confusion,negative,6
193,courage,positive,6
194,delighted,positive,6
195,dim,negative,6
196,dirt,negative,6
197,disturbed,negative,6
198,doom,negative,6
199,dragged,negative,6
200,dull,negative,6
201,enjoy,positive,6
202,fail,negative,6
203,fright,negative,6
204,fury,negative,6
205,grandeur,positive,6
206,hot,positive,6
207,humble,positive,6
208,illustrious,positive,6
209,lied,negative,6
210,loyal,positive,6
211,lying,negative,6
212,pathetic,negative,6
213,patient,positive,6
214,poison,negative,6
215,promise,positive,6
216,puzzled,negative,6
217,reasonable,positive,6
218,respect,positive,6
219,scourge,negative,6
220,slave,negative,6
221,spacious,positive,6
222,steady,positive,6
223,struggling,negative,6
224,wisdom,positive,6
225,wrong,negative,6
226,accomplish,positive,5
227,angry,negative,5
228,apprehension,negative,5
229,begging,negative,5
230,bore,negative,5
231,cheer,positive,5
232,confused,negative,5
233,crazy,negative,5
234,crooked,negative,5
235,cruel,negative,5
236,curse,negative,5
237,dawn,positive,5
238,deadly,negative,5
239,destruction,negative,5
240,disappointment,negative,5
241,discomfort,negative,5
242,dismay,negative,5
243,drunk,negative,5
244,dumb,negative,5
245,faith,positive,5
246,falling,negative,5
247,fault,negative,5
248,fortune,positive,5
249,fresh,positive,5
250,gaudy,negative,5
251,glory,positive,5
252,gossip,negative,5
253,gratification,positive,5
254,grief,negative,5
255,grieve,negative,5
256,helpless,negative,5
257,hideous,negative,5
258,homage,positive,5
259,hung,negative,5
260,indignation,negative,5
261,insult,negative,5
262,lies,negative,5
263,merry,positive,5
264,miracle,positive,5
265,misgivings,negative,5
266,noisy,negative,5
267,offence,negative,5
268,pleasantly,positive,5
269,progress,positive,5
270,protection,positive,5
271,quaint,positive,5
272,rascal,negative,5
273,regard,positive,5
274,relief,positive,5
275,rightful,positive,5
276,rude,negative,5
277,sad,negative,5
278,safe,positive,5
279,scarcely,negative,5
280,shabby,negative,5
281,shiver,negative,5
282,sore,negative,5
283,stole,negative,5
284,strike,negative,5
285,struggled,negative,5
286,success,positive,5
287,suffering,negative,5
288,sufficiently,positive,5
289,terror,negative,5
290,tranquil,positive,5
291,unfortunate,negative,5
292,warily,negative,5
293,warned,negative,5
294,wasted,negative,5
295,wicked,negative,5
296,woe,negative,5
297,worse,negative,5
298,accusing,negative,4
299,amazed,positive,4
300,astounded,positive,4
301,backward,negative,4
302,bad,negative,4
303,benefit,positive,4
304,betraying,negative,4
305,burn,negative,4
306,chill,negative,4
307,comely,positive,4
