,word,sentiment,n,
1,pretty,positive,42,
2,desert,negative,37,
3,dead,negative,22,
4,awful,negative,21,
5,perfectly,positive,19,
6,poor,negative,16,
7,top,positive,16,
8,fast,positive,14,
9,mighty,positive,14,
10,satisfied,positive,14,
11,scared,negative,14,
12,broke,negative,13,
13,dark,negative,13,
14,easy,positive,13,
15,hot,positive,13,
16,lost,negative,12,
17,soft,positive,12,
18,clean,positive,11,
19,fell,negative,11,
20,trouble,negative,11,
21,worth,positive,11,
22,sick,negative,10,
23,struck,negative,10,
24,glad,positive,9,
25,quiet,positive,9,
26,cold,negative,8,
27,death,negative,8,
28,excited,positive,8,
29,hard,negative,8,
30,noise,negative,8,
31,rich,positive,8,
32,smoke,negative,8,
33,stuck,negative,8,
34,blind,negative,7,
35,comfortable,positive,7,
36,fair,positive,7,
37,harm,negative,7,
38,noble,positive,7,
39,sharp,positive,7,
40,dreadful,negative,6,
41,fairly,positive,6,
42,fool,negative,6,
43,goodness,positive,6,
44,ignorant,negative,6,
45,mistake,negative,6,
46,powerful,positive,6,
47,strike,negative,6,
48,tired,negative,6,
49,wild,negative,6,
50,break,negative,5,
51,fun,positive,5,
52,gold,positive,5,
53,grand,positive,5,
54,happy,positive,5,
55,heaven,positive,5,
56,kill,negative,5,
57,lovely,positive,5,
58,monstrous,negative,5,
59,ready,positive,5,
60,smart,positive,5,
61,steady,positive,5,
62,terrible,negative,5,
63,amazing,positive,4,
64,ashamed,negative,4,
65,astonished,positive,4,
66,bad,negative,4,
67,beautiful,positive,4,
68,beg,negative,4,
69,burn,negative,4,
70,bust,negative,4,
71,celebrated,positive,4,
72,crazy,negative,4,
73,danger,negative,4,
74,dim,negative,4,
75,drunk,negative,4,
76,dull,negative,4,
77,fine,positive,4,
78,free,positive,4,
79,glory,positive,4,
80,hack,negative,4,
81,hate,negative,4,
82,holy,positive,4,
83,hung,negative,4,
84,lie,negative,4,
85,lonesome,negative,4,
86,loose,negative,4,
87,lose,negative,4,
88,proud,positive,4,
89,scare,negative,4,
90,shiny,positive,4,
91,sink,negative,4,
92,slow,negative,4,
93,solid,positive,4,
94,splendid,positive,4,
95,thankful,positive,4,
96,treasure,positive,4,
97,wonderful,positive,4,
98,worse,negative,4,
99,afraid,negative,3,
100,bothering,negative,3,
101,bug,negative,3,
102,bugs,negative,3,
103,bully,negative,3,
104,cleared,positive,3,
105,cloud,negative,3,
106,dawn,positive,3,
107,denying,negative,3,
108,die,negative,3,
109,died,negative,3,
110,faint,negative,3,
111,fault,negative,3,
112,fresh,positive,3,
113,friendly,positive,3,
114,fuss,negative,3,
115,generous,positive,3,
116,helped,positive,3,
117,horrible,negative,3,
118,hurt,negative,3,
119,joy,positive,3,
120,lame,negative,3,
121,lies,negative,3,
122,limp,negative,3,
123,miss,negative,3,
124,missed,negative,3,
125,mistaken,negative,3,
126,nice,positive,3,
127,safe,positive,3,
128,solemn,negative,3,
129,standstill,negative,3,
130,strange,negative,3,
131,troubles,negative,3,
132,tumble,negative,3,
133,uncomfortable,negative,3,
134,weak,negative,3,
135,wrong,negative,3,
136,accusing,negative,2,
137,admiring,positive,2,
138,backwoods,negative,2,
139,begging,negative,2,
140,bitter,negative,2,
141,blame,negative,2,
142,bless,positive,2,
143,blow,negative,2,
144,bother,negative,2,
145,brave,positive,2,
146,breeze,positive,2,
147,bright,positive,2,
148,consistent,positive,2,
149,cool,positive,2,
150,cracks,negative,2,
151,creepy,negative,2,
152,crept,negative,2,
153,crippled,negative,2,
154,crowded,negative,2,
155,cry,negative,2,
156,debt,negative,2,
157,deceive,negative,2,
158,delicious,positive,2,
159,deny,negative,2,
160,disappointed,negative,2,
161,disgusted,negative,2,
162,distressed,negative,2,
163,disturbed,negative,2,
164,doubt,negative,2,
165,dripped,negative,2,
166,dump,negative,2,
167,earnest,positive,2,
168,easiest,positive,2,
169,excitement,positive,2,
170,fall,negative,2,
171,fastest,positive,2,
172,fat,negative,2,
173,finer,positive,2,
174,flimsy,negative,2,
175,fond,positive,2,
176,foolish,negative,2,
177,funny,negative,2,
178,gaining,positive,2,
179,genius,positive,2,
180,glum,negative,2,
181,handsome,positive,2,
