,word,sentiment,n
1,pretty,positive,33
2,poor,negative,28
3,dead,negative,25
4,awful,negative,20
5,kill,negative,18
6,perfectly,positive,16
7,struck,negative,16
8,glad,positive,15
9,hard,negative,13
10,honor,positive,13
11,killed,negative,13
12,murder,negative,13
13,trouble,negative,12
14,worried,negative,12
15,quiet,positive,11
16,sick,negative,11
17,astonished,positive,10
18,bad,negative,10
19,cold,negative,10
20,powerful,positive,10
21,ready,positive,10
22,broke,negative,9
23,dark,negative,9
24,scared,negative,9
25,comfortable,positive,8
26,excited,positive,8
27,stranger,negative,8
28,tired,negative,8
29,break,negative,7
30,death,negative,7
31,mighty,positive,7
32,noble,positive,7
33,strange,negative,7
34,uneasy,negative,7
35,bright,positive,6
36,disappointed,negative,6
37,dumb,negative,6
38,harm,negative,6
39,hurt,negative,6
40,lie,negative,6
41,lies,negative,6
42,pity,negative,6
43,safe,positive,6
44,soft,positive,6
45,stole,negative,6
46,troubles,negative,6
47,comfort,positive,5
48,cuss,negative,5
49,excitement,positive,5
50,fool,negative,5
51,free,positive,5
52,itch,negative,5
53,miserable,negative,5
54,stealing,negative,5
55,afraid,negative,4
56,celebrated,positive,4
57,cleared,positive,4
58,cry,negative,4
59,dim,negative,4
60,dreadful,negative,4
61,drunk,negative,4
62,fell,negative,4
63,fine,positive,4
64,gentle,positive,4
65,hung,negative,4
66,killing,negative,4
67,lonesome,negative,4
68,lost,negative,4
69,luck,positive,4
70,mistake,negative,4
71,murderer,negative,4
72,mystery,negative,4
73,pitiful,negative,4
74,prisoner,negative,4
75,proud,positive,4
76,revenge,negative,4
77,shiver,negative,4
78,solemn,negative,4
79,solid,positive,4
80,steal,negative,4
81,stuck,negative,4
82,sunk,negative,4
83,terrible,negative,4
84,worth,positive,4
85,wrong,negative,4
86,bogus,negative,3
87,cheerful,positive,3
88,danger,negative,3
89,dawn,positive,3
90,devil,negative,3
91,died,negative,3
92,disgusted,negative,3
93,dull,negative,3
94,elegant,positive,3
95,fairly,positive,3
96,froze,negative,3
97,gasp,negative,3
98,gracious,positive,3
99,grateful,positive,3
100,handy,positive,3
101,happy,positive,3
102,harmless,positive,3
103,lazy,negative,3
104,limp,negative,3
105,lose,negative,3
106,loved,positive,3
107,lovely,positive,3
108,loving,positive,3
109,mad,negative,3
110,mournful,negative,3
111,promised,positive,3
112,rich,positive,3
113,ruin,negative,3
114,satisfied,positive,3
115,sharp,positive,3
116,strike,negative,3
117,stupid,negative,3
118,thankful,positive,3
119,tragedy,negative,3
120,troubled,negative,3
121,worry,negative,3
122,ashamed,negative,2
123,astonishment,positive,2
124,begging,negative,2
125,blame,negative,2
126,blow,negative,2
127,breaking,negative,2
128,bully,negative,2
129,burning,negative,2
130,bust,negative,2
131,cheap,negative,2
132,crack,negative,2
133,dangerous,negative,2
134,delay,negative,2
135,die,negative,2
136,distressed,negative,2
137,easy,positive,2
138,exciting,positive,2
139,FALSE,negative,2
140,fault,negative,2
141,fever,negative,2
142,fidget,negative,2
143,funny,negative,2
144,glory,positive,2
145,grudge,negative,2
146,hang,negative,2
147,helped,positive,2
148,idiot,negative,2
149,ignorant,negative,2
150,indifferent,negative,2
151,joy,positive,2
152,lead,positive,2
153,lied,negative,2
154,loud,negative,2
155,love,positive,2
156,mess,negative,2
157,noise,negative,2
158,pale,negative,2
159,peace,positive,2
160,petrified,negative,2
161,pleasant,positive,2
162,popular,positive,2
163,prison,negative,2
164,ragged,negative,2
165,rail,negative,2
166,restless,negative,2
167,reward,positive,2
168,risk,negative,2
169,romantic,positive,2
170,sack,negative,2
171,scary,negative,2
172,scoundrel,negative,2
173,secure,positive,2
174,shaky,negative,2
175,silly,negative,2
176,smart,positive,2
177,smooth,positive,2
178,sorrowful,negative,2
179,stern,negative,2
180,suspect,negative,2
181,suspicious,negative,2
182,sweet,positive,2
183,swelling,negative,2
184,tedious,negative,2
185,threats,negative,2
186,tough,positive,2
